"","Country","Region","Programme","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","ISO_code"
"1","Afghanistan","EMRO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,16242858.11,11590121.74,8787571.23,8341589.95,5980310.23,6353823.37,4205407.43,4138221.5,NA,"AFG"
"2","Afghanistan","EMRO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5723713.03,28046401.18,20537667.08,23668212.5,4860280,"AFG"
"3","Afghanistan","EMRO","DTP",NA,NA,NA,NA,NA,3227945.61,5271887.96,1403799.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFG"
"4","Afghanistan","EMRO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1424155.23,NA,416700,"AFG"
"5","Albania","EURO","HepB","39000",106889,52028,53093,112158.62,40223.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALB"
"6","Albania","EURO","Hib",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALB"
"7","Albania","EURO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,516314.22,339345.73,357534.96,324555.21,169520.56,NA,NA,NA,NA,"ALB"
"8","Angola","CENTRAL AFRICA","Pentavalent",NA,NA,NA,NA,NA,9955433,4979342.91,9164262.59,11160833.95,8096165.1,4671888.93,3248895.69,2427931.15,465234.57,870975.26,NA,NA,"AGO"
"9","Angola","CENTRAL AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11437450.52,4824927.87,8059273.31,4876003.77,2256509.75,NA,"AGO"
"10","Angola","CENTRAL AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4469600.18,1598490.52,1585064.93,NA,"AGO"
"11","Angola","CENTRAL AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65001.0000000002,63151.75,NA,"AGO"
"12","Armenia","EURO","HepB","56618.75",81933.25,63642,53728.75,112376.83,39502.44,75675.91,46981.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
"13","Armenia","EURO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,279114.6,408870.4,356589.26,344136.69,301582.36,169556.84,94339.64,NA,NA,"ARM"
"14","Armenia","EURO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,721865.51,35114.56,428183.44,135990,"ARM"
"15","Armenia","EURO","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242314.19,75568.72,94180.43,55210.97,NA,NA,"ARM"
"16","Armenia","EURO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24734.05,59147.75,NA,"ARM"
"17","Azerbaijan","EURO","HepB","87193",120616,109270,139430,231833.72,176907.62,85212.37,57369.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
"18","Azerbaijan","EURO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573422.15,456872.65,1054021.99,572643.94,237581.48,NA,NA,"AZE"
"19","Azerbaijan","EURO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295158.66,2773613.12,934207.06,1686627.87,NA,"AZE"
"20","Azerbaijan","EURO","DTP","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
"21","Azerbaijan","EURO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292013.25,388336.25,201520,"AZE"
"22","Bangladesh","SEARO","HepB",NA,72712,897791,2333440.73,5072935.57,3974913.78,6296518.4,1576154,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BGD"
"23","Bangladesh","SEARO","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165358.93,2705158.8,1673179.08,1715983.61,1227581.48,NA,"BGD"
"24","Bangladesh","SEARO","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35781812.34,NA,NA,NA,NA,"BGD"
"25","Bangladesh","SEARO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,54567698.1,32683022.2,30697252.78,27371318.41,26980299.44,11484941.11,24043713.58,20230150,1041000,"BGD"
"26","Bangladesh","SEARO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12078401.08,37174576,45035170.54,15452000,"BGD"
"27","Bangladesh","SEARO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9660309.85,0,NA,"BGD"
"28","Benin","WEST AFRICA","HepB",NA,313229,320322,227190,99895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BEN"
"29","Benin","WEST AFRICA","Pentavalent",NA,NA,NA,NA,3148230.54,5024031.3568,5544036.39,3341420.6,4669551.19,3018920.46,2950889.15,2231734.45,2284039.57,1877828.24,832193.53,1035606,NA,"BEN"
"30","Benin","WEST AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5227791.95,9363326.78,8683129.83,7168863.75,4050859.46,6559424,NA,"BEN"
"31","Benin","WEST AFRICA","Yellow Fever",NA,186308,157532,109075,248858.13,700563.3032,237238.9,250225.18,448184.72,429342.94,506927.65,14023.08,561895.78,462273.96,328640.14,503962.7,NA,"BEN"
"32","Benin","WEST AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535352.48,456796.5,NA,"BEN"
"33","Bhutan","SEARO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,115877.57,NA,77848.3,116830.09,88477.91,57963,31843.82,NA,NA,"BTN"
"34","Bhutan","SEARO","DTP",NA,NA,80428,61692,67224.33,105127.52,101780.38,100046.27,60142.18,17113.71,10802.13,NA,NA,NA,NA,NA,NA,"BTN"
"35","Bhutan","SEARO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29399.37,37549,NA,"BTN"
"36","Bolivia","PAHO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900363.16,4363539.45,3349436.86,1161503.5,618540,NA
"37","Bolivia","PAHO","Rotavirus",NA,NA,NA,NA,NA,NA,NA,1753183,3262000,2814500,3018500,1192500,NA,NA,NA,NA,NA,NA
"38","Bolivia","PAHO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255500,977500,571500,NA
"39","Bosnia & Herz","EURO","HepB",NA,NA,70000,25961.79,31218.25,44010.73,53128.54,36796.17,1563.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Bosnia & Herz","EURO","Hib",NA,NA,NA,NA,NA,NA,415532.04,346675.21,367233.13,358200.25,362400.9,NA,NA,NA,NA,NA,NA,NA
"41","Burkina Faso","WEST AFRICA","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138445.99,309703.86,21752,NA,"BFA"
"42","Burkina Faso","WEST AFRICA","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000964.54,NA,NA,NA,"BFA"
"43","Burkina Faso","WEST AFRICA","Pentavalent",NA,NA,NA,NA,NA,9104667.41,8540710.67,9726532.03,9114936.75,5870486.61,2454235.4,4791387.37,2607836.92,3698262.77,3437104.12,2099532.5,NA,"BFA"
"44","Burkina Faso","WEST AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4787546.34,16001548.29,12540758.41,10461775.25,1322740,"BFA"
"45","Burkina Faso","WEST AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2490635.54,9479163.75,7978633.87,8406775,1449050,"BFA"
"46","Burkina Faso","WEST AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34823.23,52074.25,NA,"BFA"
"47","Burkina Faso","WEST AFRICA","Meningitis A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534160,"BFA"
"48","Burundi","CENTRAL AFRICA","HepB",NA,NA,NA,460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BDI"
"49","Burundi","CENTRAL AFRICA","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69717,101996.55,70786.45,72330.26,116355.2,NA,"BDI"
"50","Burundi","CENTRAL AFRICA","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3027951.3,NA,"BDI"
"51","Burundi","CENTRAL AFRICA","Pentavalent",NA,NA,NA,NA,4119050.64,3373032.29,3274400.4,4187285.75,4053810.09,3082674.81,2681224.88,2253169.18,1713864.65,1844640.83,2337125.68,1016442.25,NA,"BDI"
"52","Burundi","CENTRAL AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4351436.67,7136414.98,7302965.61,7177682.97,7808204.34,5526870.45,1348240,"BDI"
"53","Burundi","CENTRAL AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154358.45,2064827.21,1648306.54,1467600.66,810983.61,"BDI"
"54","Burundi","CENTRAL AFRICA","DTP",NA,NA,NA,4727593.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BDI"
"55","Burundi","CENTRAL AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103155.75,676717.5,NA,"BDI"
"56","Cambodia","WPRO","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367463.93,362891.09,167321.8,NA,204988.95,NA,"KHM"
"57","Cambodia","WPRO","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3435508.68,NA,NA,NA,NA,"KHM"
"58","Cambodia","WPRO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,4693868.86,3737781.26,3310346.91,2972819.61,1589511.42,1501425.22,2416701,645400,"KHM"
"59","Cambodia","WPRO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5808393.33,4437790.15,1695000,"KHM"
"60","Cambodia","WPRO","DTP","134087",147132.11,599871,930298,2068894.13,2284346.8,841994.34,1031829.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KHM"
"61","Cambodia","WPRO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258374.96,784125.25,NA,"KHM"
"62","Cameroun","CENTRAL AFRICA","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6504937.85,NA,NA,NA
"63","Cameroun","CENTRAL AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,4642376.13,5118830.9,6012315.5,5505461.13,5459947.56,2796278.31,3025632.61,3422710.12,2902231.91,NA,NA
"64","Cameroun","CENTRAL AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11094575.74,17335333.13,16312978.52,15432256.86,12387553.77,7672673.25,NA,NA
"65","Cameroun","CENTRAL AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3914929.64,2444256.53,3118404.35,NA,NA
"66","Cameroun","CENTRAL AFRICA","DTP",NA,NA,NA,NA,3658317.11,3334982.94,1655685.15,351689.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Cameroun","CENTRAL AFRICA","Yellow Fever",NA,NA,NA,890133,601877.89,594041,467326.52,254118.16,617638.9,473559.29,711067.04,526964.36,579778.57,202101.76,243992.04,321209.47,NA,NA
"68","Cameroun","CENTRAL AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203374.87,301626.54,NA,NA
"69","CAR","CENTRAL AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,990332.29,1790026.55,1222066.06,881340.8,764192.97,313825.71,695004.04,353109.36,771480.25,NA,NA
"70","CAR","CENTRAL AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2195893.6,2678350.41,2707734.68,2448199.01,NA,1452307.25,NA,NA
"71","CAR","CENTRAL AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.91038304567337e-11,0,NA,NA
"72","CAR","CENTRAL AFRICA","Yellow Fever",NA,NA,86324,143836.98,92127.3,90419.17,76380.47,112414.38,171410.86,161531.72,184630.5,114226.35,89431.76,91098.91,118483.76,180745.4,187740.4,NA
"73","CAR","CENTRAL AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66459.6,100880.5,NA,NA
"74","CAR","CENTRAL AFRICA","Meningitis A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103302.75,NA
"75","Chad","CENTRAL AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,2389764.82,4649938.09,3385606.98,2484950.5,3106165.77,1752722.62,3691057.61,3173253.71,3075942.25,NA,"TCD"
"76","Chad","CENTRAL AFRICA","Yellow Fever",NA,NA,NA,218202,117398.61,227252.36,228431.99,258863.15,288878.3,258495.8,495557.84,319669.62,258565.14,633808.14,570908.56,768528.05,NA,"TCD"
"77","Chad","CENTRAL AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483997.72,1393786.25,NA,"TCD"
"78","Chad","CENTRAL AFRICA","Meningitis A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517524,"TCD"
"79","China","WPRO","HepB",NA,4390638,4390000,4390638,4390638,4390638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHN"
"80","Comoros","SOUTH AFRICA","HepB",NA,NA,31366,15136.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Comoros","SOUTH AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,94119.51,181255.41,174364.39,116932.18,125019.32,105258.54,105326.41,53477.82,NA,NA
"82","Comoros","SOUTH AFRICA","DTP",NA,NA,NA,NA,118779.6,105396.71,9814.36,30068.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Comoros","SOUTH AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59878.02,19740.52,NA,NA
"84","Congo","CENTRAL AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,1298873.35,2313253.47,119067.82,1591790.1,1300367.78,771595.33,538253.98,169519.59,NA,NA,NA
"85","Congo","CENTRAL AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30325.14,2138534.44,2718241.4,1519858.85,1020731.63,NA,NA,NA
"86","Congo","CENTRAL AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,911896.44,314488.25,285328.61,157016.39,NA
"87","Congo","CENTRAL AFRICA","DTP",NA,NA,NA,NA,NA,NA,580514.73,247307.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Congo","CENTRAL AFRICA","Yellow Fever",NA,NA,NA,147595,122457.99,113481.39,92545.24,94353.81,159200.47,148172.94,79140.23,106956.43,105447.93,115639.79,53283.45,NA,NA,NA
"89","Congo","CENTRAL AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137753.5,14820.74,NA,NA
"90","Congo DRC","CENTRAL AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,12398297.6,24028871.31,24635535.33,23717324.38,18304256.08,16610319.35,16855535.84,12992584.68,13049082.75,NA,NA
"91","Congo DRC","CENTRAL AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38462873.11,0,30451468.04,55650089.14,57599664.2,24033783.5,9140520,NA
"92","Congo DRC","CENTRAL AFRICA","DTP",NA,NA,NA,NA,NA,NA,8565154.16,1792446.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Congo DRC","CENTRAL AFRICA","Yellow Fever",NA,NA,117151,2529333,2254342.06,1889267.14,2648961.01,1033443.7,2165839.64,1956212.99,2069089.82,1907520.31,2391095.64,5201726.56,2593822.74,3824536.4,NA,NA
"94","Congo DRC","CENTRAL AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3787726.92,4229895.45,NA,NA
"95","Côte d'Ivoire","WEST AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,3611405.75,6861772.49,5272997.64,4630748.49,4750678.52,1992014.76,3699739.53,3408784.95,1601046.5,NA,"CIV"
"96","Côte d'Ivoire","WEST AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12596837.28,10721223.01,4552574.5,2089880,"CIV"
"97","Côte d'Ivoire","WEST AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4971375,NA,NA,"CIV"
"98","Côte d'Ivoire","WEST AFRICA","DTP","757063",857338.8,1487529,1572062,2146770.47,3298752.43,1172248.32,87641.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIV"
"99","Côte d'Ivoire","WEST AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524821.82,471800.05,NA,"CIV"
"100","Cuba","PAHO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274000,356500,304500,"CUB"
"101","Djibouti","EMRO","Pentavalent",NA,NA,NA,NA,NA,NA,162364.49,221201.58,222444.23,241660.59,158588.09,196752.57,112398.89,143923.43,124178.44,89894.73,NA,"DJI"
"102","Djibouti","EMRO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,667815.68,528645.24,144953.42,544902.69,94312.75,NA,"DJI"
"103","Djibouti","EMRO","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134080.35,NA,106830.78,105932.75,NA,"DJI"
"104","Djibouti","EMRO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19905.93,28598,NA,"DJI"
"105","Eritrea","EAST AFRICA","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29920.22,65621.59,56993.31,41212.58,58865.45,NA,"ERI"
"106","Eritrea","EAST AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,919127.72,1394827.92,1131672.03,846169.9,391383.4,577616.63,806334.74,615863.28,437290.25,NA,"ERI"
"107","Eritrea","EAST AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1295185.99,2030034.75,NA,"ERI"
"108","Eritrea","EAST AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,323097.49,452850.57,558735.3,NA,"ERI"
"109","Eritrea","EAST AFRICA","DTP",NA,383825,360079.62,308362,328156.08,625315.67,306938.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ERI"
"110","Eritrea","EAST AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8003.25,8100.5,NA,"ERI"
"111","Ethiopia","EAST AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,38536750.62,34332901.42,34065125.33,17162026.87,17699288.77,22828113.03,21857444.54,9029206.29,14103368.05,16403711.25,NA,"ETH"
"112","Ethiopia","EAST AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38104094.53,69018104.69,62825084.14,30925467.44,53606928.1,44682974.5,4855170,"ETH"
"113","Ethiopia","EAST AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4339593.7,16748143.38,12233749.99,12460970.52,3045360.66,"ETH"
"114","Ethiopia","EAST AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045661.82,2730176.45,NA,"ETH"
"115","Gambia","WEST AFRICA","HepB",NA,106475,28000,42928.08,70816.35,94275.39,75815.18,37667.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Gambia","WEST AFRICA","Hib",NA,410021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Gambia","WEST AFRICA","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35194.87,18194.21,39170.93,30544.16,23037.6,NA,NA
"118","Gambia","WEST AFRICA","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,629936.75,NA,NA,NA
"119","Gambia","WEST AFRICA","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,927012.14,661772.73,533396.69,450056.78,381542.09,694700.02,329443.57,378178.21,NA,NA
"120","Gambia","WEST AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,86933.33,22801.01,1234650.81,1753006.61,1636897.33,1666031.3,1255555.09,1211288.77,454260,NA
"121","Gambia","WEST AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,985883.44,820971.13,903629.61,0,217573.77,NA
"122","Gambia","WEST AFRICA","DTP",NA,144045,572766.18,422330,578348.05,917305,671076.76,369812.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
